name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
guwahati,1990-01-01,21.4,11.1,15.4,21.4,11.1,15.4,12.7,85.6,0,0,0,,,,,3.6,360,1015.1,2,3,,,,,1990-01-01T06:10:32,1990-01-01T16:42:19,0.15,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1990-01-02,21.1,10.4,14.7,21.1,10.4,14.7,12.1,86.2,0,0,0,,,,,5.4,90,1016.3,5.7,2.3,,,,,1990-01-02T06:10:48,1990-01-02T16:42:59,0.18,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1990-01-03,23.2,9.7,15.8,23.2,9.7,15.8,12,80.1,0,0,0,,,,,7.6,41.1,1016.6,1.3,3.3,,,,,1990-01-03T06:11:04,1990-01-03T16:43:40,0.22,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1990-01-04,23.1,10.2,16.4,23.1,10.2,16.4,12.8,81.3,0,0,0,,,,,3.6,340,1016.7,1.4,2.3,,,,,1990-01-04T06:11:17,1990-01-04T16:44:22,0.25,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1990-01-05,19.1,11.1,15.8,19.1,11.1,15.8,13.1,84.5,0,0,0,,,,,3.6,180,1018.6,15,2.8,,,,,1990-01-05T06:11:30,1990-01-05T16:45:04,0.29,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1990-01-06,23.4,12.1,16.2,23.4,12.1,16.2,13.4,85.3,0,0,0,,,,,7.6,62.6,1018.4,7.1,2.6,,,,,1990-01-06T06:11:41,1990-01-06T16:45:47,0.32,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1990-01-07,20.4,10.7,16.1,20.4,10.7,16.1,12.9,82.4,0,0,0,,,,,0,,1017.4,12.9,2.9,,,,,1990-01-07T06:11:50,1990-01-07T16:46:30,0.36,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1990-01-08,21.4,11.2,15.6,21.4,11.2,15.6,12.5,83.4,0,0,0,,,,,5.4,296.6,1017.4,10,1.7,,,,,1990-01-08T06:11:58,1990-01-08T16:47:14,0.4,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1990-01-09,22.4,11.9,17.3,22.4,11.9,17.3,13.8,81.4,0,0,0,,,,,3.6,346.9,1016.2,50,3,,,,,1990-01-09T06:12:05,1990-01-09T16:47:58,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1990-01-10,22.4,14.9,17.6,22.4,14.9,17.6,12.4,75.9,0,0,0,,,,,3.6,250,1014.4,66.3,2.8,,,,,1990-01-10T06:12:10,1990-01-10T16:48:43,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
